PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,WSPM,day_sin,day_cos,Twoday_sin,Twoday_cos,Week_sin,Week_cos
0.12849162011173185,0.14678899082568808,0.16519174041297935,0.3402777777777778,0.1919191919191919,0.0,0.2122302158273382,0.6146788990825698,0.29672131147540987,0.0625,0.3705904774510934,0.01703708685483518,0.004277569312935825,0.5652630961088178,0.9912832366165794,0.5929558035817993
0.14972067039106143,0.1794087665647299,0.17994100294985252,0.34375,0.20202020202020202,0.0,0.1942446043165468,0.5596330275229349,0.3442622950819672,0.0625,0.25000000000439576,0.06698729810524279,0.01703708685480898,0.629409522548809,0.9944154131126111,0.5745211330877764
0.15418994413407822,0.21610601427115192,0.168141592920354,0.3402777777777778,0.2222222222222222,0.0,0.17625899280575544,0.522935779816514,0.3180327868852459,0.03571428571428572,0.14644660940703647,0.14644660940641602,0.0380602337442727,0.6913417161823422,0.9968561049466288,0.5559822380515871
0.14860335195530724,0.1580020387359837,0.18584070796460175,0.3611111111111111,0.29292929292929293,0.0,0.17625899280575544,0.522935779816514,0.3704918032786886,0.03571428571428572,0.06698729810931953,0.2499999999973347,0.06698729810701126,0.7499999999986673,0.9986018985905766,0.5373650467933914
0.1441340782122905,0.163098878695209,0.1592920353982301,0.3645833333333333,0.29292929292929293,0.0,0.1942446043165468,0.4862385321100895,0.3016393442622951,0.09821428571428573,0.017037086856945383,0.3705904774432178,0.10332332985264236,0.8043807145020927,0.9996503523941833,0.5186955971385894
0.16201117318435754,0.18144750254842001,0.1887905604719764,0.3854166666666667,0.3737373737373737,0.0,0.1942446043165468,0.5779816513761453,0.3016393442622951,0.08928571428571429,0.0,0.4999999999989204,0.14644660940634457,0.853553390592892,1.0,0.49999999999976447
0.19553072625698323,0.2232415902140673,0.25073746312684364,0.40625,0.47474747474747475,0.0,0.2122302158273382,0.46788990825687904,0.30327868852459017,0.10714285714285714,0.01703708685450339,0.6294095225476686,0.19561928549416463,0.8966766701444857,0.9996503523941997,0.4813044028618487
0.19441340782122904,0.20998980632008157,0.2182890855457227,0.3923611111111111,0.4444444444444444,0.0,0.2122302158273382,0.4862385321100895,0.30327868852459017,0.14285714285714288,0.06698729810460197,0.7499999999944943,0.24999999999724715,0.93301270189063,0.9986018985906093,0.46263495320704573
0.1977653631284916,0.21916411824668708,0.22713864306784662,0.3715277777777778,0.4444444444444444,0.0,0.23021582733812956,0.4495412844036686,0.3065573770491803,0.14285714285714288,0.14644660940550974,0.8535533905920573,0.3086582838166604,0.9619397662553142,0.996856104946678,0.44401776194884857
0.1877094972067039,0.21814475025484203,0.22713864306784662,0.3645833333333333,0.4444444444444444,0.0,0.23021582733812956,0.43119266055045813,0.29672131147540987,0.15178571428571427,0.2499999999962247,0.9330127018900396,0.37059047744663426,0.98296291314397,0.9944154131125409,0.42547886691175774
0.17765363128491618,0.20285423037716618,0.26843657817109146,0.3368055555555556,0.3939393939393939,0.0,0.23021582733812956,0.4862385321100895,0.3016393442622951,0.16071428571428573,0.37059047744900786,0.982962913144606,0.4347369038901119,0.9957224306869235,0.9912832366166608,0.40704419641863143
